ProductID,AnnualDemand,AvgDailyDemand,DemandStd,Revenue,SellingDays,UnitCost,AnnualConsumption,CumPct,ABC,CV,XYZ,ABC_XYZ,HoldingCost,EOQ,SafetyStock,ReorderPoint,CurrentStock,InventoryStatus,InventoryTurnover,DIO,Recommendation
1590,2004773.0,3444.627147766323,656.5470595965132,11959889,582,410,821956930.0,0.46289343165324803,A,0.19060032666300408,X,AX,82.0,4944.537513207094,2857.209842088214,26969.599876452474,11432.0,Critical,175.36502799160252,2.0813728038037222,Urgent replenishment: order 4944 units
1591,1198879.0,3330.2194444444444,419.87738515233775,7556953,360,456,546688824.0,0.7707668208195618,A,0.1260809962096605,X,AX,91.2,3625.6865653522004,1827.25332448339,25138.789435594503,2956.0,Critical,405.57476319350474,0.8999573768495402,Urgent replenishment: order 3625 units
2823,1219317.0,3386.991666666667,629.9135302886173,8884644,360,444,541376748.0,1.075648660186736,A,0.18598024213875655,X,AX,88.80000000000001,3705.542780389574,2741.304087952583,26450.24575461925,7622.0,Critical,159.97336657045395,2.2816297976654143,Urgent replenishment: order 3705 units
1948,1082120.0,1859.3127147766322,344.929415029635,6084040,582,476,515089120.0,1.3657263536299333,A,0.1855144711744054,X,AX,95.2,3371.4695197627216,1501.0892289336778,14516.278232370103,2355.0,Critical,459.49893842887474,0.7943435108860385,Urgent replenishment: order 3371 units
1753,1072090.0,2978.027777777778,366.11106022414316,6543189,360,471,504954390.0,1.6500965704677824,A,0.12293742286626266,X,AX,94.2,3373.57345804975,1593.2690723078338,22439.46351675228,4809.0,Critical,222.93408192971512,1.6372552677480434,Urgent replenishment: order 3373 units
1212,1084927.0,1864.135738831615,397.9128687018562,5443020,582,405,439395435.0,1.8975465928916115,A,0.2134570248362151,X,AX,81.0,3659.803340867807,1731.666524326837,14780.616696148141,2459.0,Critical,441.2065880439203,0.8272768582586663,Urgent replenishment: order 3659 units
2714,1209972.0,2078.9896907216494,348.2028212304047,6050298,582,339,410180508.0,2.128543931092036,A,0.16748655502449275,X,AX,67.8,4224.475670454913,1515.334679091873,16068.262514143418,7511.0,Critical,161.09332978298497,2.2657673070120627,Urgent replenishment: order 4224 units
2637,1139245.0,3164.5694444444443,316.4963322246692,5703659,360,329,374811605.0,2.339622910694911,A,0.10001244648945654,X,AX,65.8,4160.979908554245,1377.352045370349,23529.33815648146,8669.0,Critical,131.41596493251816,2.7774403223187285,Urgent replenishment: order 4160 units
1721,790848.0,2196.8,417.1216918952817,6011119,360,469,370907712.0,2.548503373122954,A,0.18987695370324184,X,AX,93.80000000000001,2903.6555153482595,1815.2608956380373,17192.86089563804,3633.0,Critical,217.68455821635013,1.6767381342558874,Urgent replenishment: order 2903 units
2715,829360.0,2303.777777777778,362.36435065355766,4147702,360,445,369065200.0,2.7563462061188293,A,0.15729136470927071,X,AX,89.0,3052.6466689404556,1576.9638656908062,17703.40831013525,7063.0,Critical,117.42319127849356,3.1084149223497635,Urgent replenishment: order 3052 units
2309,840404.0,2334.4555555555557,594.6572695378198,5779229,360,433,363894932.0,2.9612773499376486,A,0.2547306022265662,X,AX,86.60000000000001,3115.194083863567,2587.8732961456494,18929.062185034538,6388.0,Critical,131.55979962429555,2.774403739154026,Urgent replenishment: order 3115 units
2556,795726.0,1367.2268041237114,824.6564632490363,6187997,582,453,360463878.0,3.164276260688918,A,0.6031599590951396,Y,AY,90.60000000000001,2963.586962132072,3588.800724482473,13159.388353348453,3190.0,Critical,249.44388714733543,1.4632549395143555,Urgent replenishment: order 2963 units
3112,779044.0,1338.5635738831616,409.8153212124437,3934019,582,461,359139284.0,3.366529212814099,A,0.3061605210304453,X,AX,92.2,2906.802553425103,1783.4644936592074,11153.409510841337,4510.0,Critical,172.73702882483371,2.1130385446778357,Urgent replenishment: order 2906 units
2508,816200.0,1402.405498281787,452.549344600631,4299444,582,438,357495600.0,3.5678565075239774,A,0.3226950729693301,X,AX,87.60000000000001,3052.4337172448995,1969.437563574096,11786.276051546605,5820.0,Critical,140.2405498281787,2.6026709139916684,Urgent replenishment: order 3052 units
2257,1187881.0,3299.6694444444443,234.5748935401148,7229828,360,299,355176419.0,3.767877731790828,A,0.0710904220830549,X,AX,59.800000000000004,4456.930644426809,1020.8402958068332,24118.526406917943,9155.0,Critical,129.75215729109777,2.8130553481367238,Urgent replenishment: order 4456 units
2149,788421.0,2190.0583333333334,396.4438010557654,7177658,360,433,341386293.0,3.960132905898492,A,0.18101974500942458,X,AX,86.60000000000001,3017.3114839578657,1725.273327562414,17055.681660895745,6840.0,Critical,115.26622807017544,3.1665823208666435,Urgent replenishment: order 3017 units
1859,819853.0,2277.3694444444445,450.44835560730866,6706383,360,410,336139730.0,4.149433424521404,A,0.19779327271917174,X,AX,82.0,3161.9941994053643,1960.2943249560922,17901.880436067204,2182.0,Critical,375.7346471127406,0.9714302442023143,Urgent replenishment: order 3161 units
2053,659517.0,1831.9916666666666,429.3090158943015,5240175,360,481,317227677.0,4.328083427535452,A,0.2343400484323354,X,AX,96.2,2618.336508297982,1868.2985896917087,14692.240256358375,4952.0,Critical,133.18194668820678,2.7406116900701574,Urgent replenishment: order 2618 units
1858,900558.0,1547.3505154639174,935.0373564700883,6783496,582,351,316095858.0,4.506096035131567,A,0.6042828351595249,Y,AY,70.2,3581.684176258641,4069.164424052613,14900.618032300035,2431.0,Critical,370.4475524475524,0.9852946728583835,Urgent replenishment: order 3581 units
2148,855264.0,1469.5257731958764,899.228381324044,7074748,582,360,307895040.0,4.679490268397068,A,0.611917393846337,Y,AY,72.0,3446.5441628777467,3913.328289038547,14200.00870140968,7627.0,Critical,112.13635767667498,3.2549657181876004,Urgent replenishment: order 3446 units
2557,722736.0,2007.6,346.0946478818751,6014273,360,397,286926192.0,4.841075680963732,A,0.17239223345381308,X,AX,79.4,3017.029750243425,1506.1601750678224,15559.36017506782,2571.0,Critical,281.1108518086348,1.2984201700205884,Urgent replenishment: order 3017 units
2217,744616.0,2068.3777777777777,449.44226849300674,6146048,360,379,282209464.0,5.0000048200318625,A,0.21729215683987776,X,AX,75.8,3134.2351665367537,1955.9159609638016,16434.560405408247,6602.0,Critical,112.78642835504392,3.2362049700785374,Urgent replenishment: order 3134 units
1968,603004.0,1036.089347079038,660.0854627736848,4051510,582,464,279793856.0,5.157573584808059,A,0.6370931856741987,Y,AY,92.80000000000001,2549.095512340501,2872.6085256026963,10125.233955155962,2581.0,Critical,233.6319256102286,1.5622864856617866,Urgent replenishment: order 2549 units
2844,728481.0,1251.6855670103093,829.2431066203619,5412796,582,384,279736704.0,5.315110163852327,A,0.6625011332526869,Y,AY,76.80000000000001,3079.842477708884,3608.7612168663,12370.560185938466,7206.0,Critical,101.09367194004996,3.6105128342400143,Urgent replenishment: order 3079 units
